ProductCategoryID,ProductCategoryCode,ParentProductCategoryCode,ProductCategoryName
20328,13101535,13101500,CD/MD/Autoradio + CD-Wechsler (Set)
20329,13101540,13101500,Kass./Autoradio + MD-Wechsler (Set)
20330,13101550,13101500,CD/Autoradio + MD-Wechsler (Set)
20331,13101560,13101500,MD/Autoradio + MD-Wechsler (Set)
20332,13101580,13101500,Autoradio + GSM-Telefon
20333,13200000,13000000,Empfangsgeräte
20334,13201000,13200000,DAB-Empfangsgeräte
20335,13201010,13201000,DAB-Einzelempfänger
20336,13300000,13000000,Verstärkertechnik
20337,13301000,13300000,Verstärker
20338,13301010,13301000,Vorverstärker (analog)
20339,13301015,13301000,Vorverstärker (digital)
20340,13301030,13301000,Endstufen (mono)
20341,13301035,13301000,Endstufen (mehrkanalig)
20342,13500000,13000000,Klangregel-Geräte
20343,13501000,13500000,Effektgeräte
20344,13501010,13501000,Equalizer
20345,13501015,13501000,Digitale-Audio-Prozessoren
20346,13502000,13500000,Frequenzweichen
20347,13502010,13502000,Aktive Frequenzweichen
20348,13502015,13502000,Passive Frequenzweichen
20349,13502020,13502000,DSP Frequenzweichen
20350,13600000,13000000,Lautsprecher
20351,13601000,13600000,Einzel-Einbaulautsprecher
20352,13601010,13601000,Einzel-Hochtöner
20353,13601020,13601000,Einzel-Mitteltöner
20354,13601030,13601000,Einzel-Tieftöner
20355,13601050,13601000,Subwoofer (passiv)
20356,13601060,13601000,Einzel Subwoofer (aktiv)
20357,13602000,13600000,Einbau-Lautsprecher-Systeme
20358,13602010,13602000,Einchassis-Einbau-Lautsprecher
20359,13602030,13602000,Mehrchassis-Einbau-LS (Set)
20360,13602040,13602000,Aufbau-Lautsprecher
20361,13602050,13602000,bestückte Soundboards/Ablage
20362,13605000,13600000,Kfz-spez. Einzel-Lautsprecher
20363,13605010,13605000,Kfz-spez. Einzel-Hochtöner
20364,13605020,13605000,Kfz-spez. Einzel-Mitteltöner
20365,13605030,13605000,Kfz-spez. Einzel-Tieftöner
20366,13606000,13600000,Kfz-spez. Lautsprecher-Systeme
20367,13606010,13606000,Kfz-spez. Einchassis-Lautsprecher
20368,13606030,13606000,Kfz-spez. Mehrchassis-LS (Set)
20369,13700000,13000000,Multimedia / Navigation
20370,13701000,13700000,Navigationsgeräte
21011,13701003,13701000,Car-Navigation + Kass./Radio
21010,13701005,13701000,Car-Navigation + CD-Radio
21266,13701007,13701000,Car-Navigation + DVD-Radio
20371,13701010,13701000,Car-Navigationssysteme (Solo)
21263,13701020,13701000,Ein-/Aufbau-Navigationsgeräte
21264,13701030,13701000,tragbare Navigationsgeräte
21491,13701040,13701000,Outdoor-/ Sport-Navigationsgeräte
21321,13701200,13700000,Digitale Karten
20399,13701210,13701200,digitale Straßenkarten
20372,13705000,13700000,Monitore / Displays
20373,13705010,13705000,Car-Monitore / Displays
20374,13706000,13700000,DVD / Video
